 0.000000000000000e+00, 1.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
 3.000000000000000e+00, 9.999039827636060e-01,-2.059532543955786e-06, 6.220916144547304e-08, 9.374589010496176e-03,-1.697426611684589e-08,-9.374632461949313e-03, 8.898232603136068e-05, 2.673685185871544e-06
 6.000000000000000e+00, 9.996403370102016e-01,-2.058313038860791e-06, 1.435524592456083e-07, 1.874587549214932e-02,-2.689900822012232e-08,-1.874592861858278e-02, 3.526281336267424e-04, 2.672362784772299e-06
 9.000000000000000e+00, 9.992010333938838e-01,-2.056759276924096e-06, 2.365479002560452e-07, 2.811055922541669e-02,-7.458860210448326e-09,-2.811062268952608e-02, 7.919318039247394e-04, 2.670733739440102e-06
 1.200000000000000e+01, 9.985862267181495e-01,-2.055077013125785e-06, 3.494505230771566e-07, 3.746534948249657e-02, 4.339168721027859e-08,-3.746542379879188e-02, 1.406738521722137e-03, 2.669017755795047e-06
 1.500000000000000e+01, 9.977961337562233e-01,-2.053120200592703e-06, 4.895464191395064e-07, 4.680695837642760e-02, 1.228641426533544e-07,-4.680704244182280e-02, 2.196831516457530e-03, 2.667061867763752e-06
 1.800000000000000e+01, 9.968310330290540e-01,-2.050710155213881e-06, 6.597037606626083e-07, 5.613210147699176e-02, 2.299377742281294e-07,-5.613219380561280e-02, 3.161932270304181e-03, 2.664675260462591e-06
 2.100000000000000e+01, 9.956912645646634e-01,-2.047709829046316e-06, 8.601821195445986e-07, 6.543749924763523e-02, 3.638541086605252e-07,-6.543759842261151e-02, 4.301700757623719e-03, 2.661711625582986e-06
 2.400000000000000e+01, 9.943772298192033e-01,-2.044027047215022e-06, 1.090386606260188e-06, 7.471987861880554e-02, 5.241263709410956e-07,-7.471998342912085e-02, 5.615735523436007e-03, 2.658072877711677e-06
 2.700000000000000e+01, 9.928893915267459e-01,-2.039603042935345e-06, 1.349796294053782e-06, 8.397597444921427e-02, 7.107048751185749e-07,-8.397608390406898e-02, 7.103573834540381e-03, 2.653696620182845e-06
 3.000000000000000e+01, 9.912282735327220e-01,-2.034401545380260e-06, 1.638352204956158e-06, 9.320253091762284e-02, 9.240657487722733e-07,-9.320264422052922e-02, 8.764691845974632e-03, 2.648544384653787e-06
 3.300000000000000e+01, 9.893944606064780e-01,-2.028400760002440e-06, 1.956557587896490e-06, 1.023963028742563e-01, 1.165203498596881e-06,-1.023964193879946e-01, 1.059850478866662e-02, 2.642593050484298e-06
 3.600000000000000e+01, 9.873885982334194e-01,-2.021588018020649e-06, 2.305423145870493e-06, 1.115540571562263e-01, 1.435546375156649e-06,-1.115541763698883e-01, 1.260436717751723e-02, 2.635829149828904e-06
 3.900000000000000e+01, 9.852113923859599e-01,-2.013956622402153e-06, 2.686319427058920e-06, 1.206725738566856e-01, 1.736810861428792e-06,-1.206726953587172e-01, 1.478157304013905e-02, 2.628245517071877e-06
 4.200000000000001e+01, 9.828636092740574e-01,-2.005503328237223e-06, 3.100781723390916e-06, 1.297486475373314e-01, 2.070812762675164e-06,-1.297487709931527e-01, 1.712935616666347e-02, 2.619838630700353e-06
 4.500000000000000e+01, 9.803460750750225e-01,-1.996228870755003e-06, 3.550272347449793e-06, 1.387790883671928e-01, 2.439254523448659e-06,-1.387792135056865e-01, 1.964689037973014e-02, 2.610609101657176e-06
 4.800000000000000e+01, 9.776596756416178e-01,-1.986134640754468e-06, 4.035976371955120e-06, 1.477607231973491e-01, 2.843511727569654e-06,-1.477608497953466e-01, 2.233328982671871e-02, 2.600558247645555e-06
 5.100000000000001e+01, 9.748053561900194e-01,-1.975223423537396e-06, 4.558589886825900e-06, 1.566903965544797e-01, 3.284440323439631e-06,-1.566905244272735e-01, 2.518760929156186e-02, 2.589688838696748e-06
 5.400000000000000e+01, 9.717841209666619e-01,-1.963498982628836e-06, 5.118163724353019e-06, 1.655649715736266e-01, 3.762226264523848e-06,-1.655651005674498e-01, 2.820884452767846e-02, 2.578004646429495e-06
 5.700000000000000e+01, 9.685970328952530e-01,-1.950965816736677e-06, 5.714007562903624e-06, 1.743813308814084e-01, 4.276294847357446e-06,-1.743814608675994e-01, 3.139593261147093e-02, 2.565510216032056e-06
 6.000000000000000e+01, 9.652452132024094e-01,-1.937629107937791e-06, 6.344666812319882e-06, 1.831363774492227e-01, 4.825291834904093e-06,-1.831365083197234e-01, 3.474775231625010e-02, 2.552210755265143e-06
 6.300000000000000e+01, 9.617298410236462e-01,-1.923494645676276e-06, 7.007977482816925e-06, 1.918270354395051e-01, 5.407141741600473e-06,-1.918271671034082e-01, 3.826312450651703e-02, 2.538112104447122e-06
 6.600000000000000e+01, 9.580521529887387e-01,-1.908568853016957e-06, 7.701196727606231e-06, 2.004502510685922e-01, 6.019181063545883e-06,-2.004503834495380e-01, 4.194081255245916e-02, 2.523220757055011e-06
 6.900000000000000e+01, 9.542134427871410e-01,-1.892858824725147e-06, 8.421199305849078e-06, 2.090029935086456e-01, 6.658356603508446e-06,-2.090031265427859e-01, 4.577952276454840e-02, 2.507543859503882e-06
 7.200000000000000e+01, 9.502150607135713e-01,-1.876372013845771e-06, 9.164723371414810e-06, 2.174822558472941e-01, 7.321471648563571e-06,-2.174823894813729e-01, 4.977790484807961e-02, 2.491088966569984e-06
 7.500000000000000e+01, 9.460584131936720e-01,-1.859115309773316e-06, 9.928643608303497e-06, 2.258850561179583e-01, 8.005456561709626e-06,-2.258851903065469e-01, 5.393455237739166e-02, 2.473863069604499e-06
 7.800000000000000e+01, 9.417449622904259e-01,-1.841093072460030e-06, 1.071024617384827e-05, 2.342084384068856e-01, 8.707638487421767e-06,-2.342085731077742e-01, 5.824800328964649e-02, 2.455870686478440e-06
 8.100000000000000e+01, 9.372762251901920e-01,-1.822306334350601e-06, 1.150747942445596e-05, 2.424494740344534e-01, 9.425992034518220e-06,-2.424496092038530e-01, 6.271674039854530e-02, 2.437112969615868e-06
 8.400000000000001e+01, 9.326537736683937e-01,-1.802755923115772e-06, 1.231915609395418e-05, 2.506052628005456e-01, 1.015935515859525e-05,-2.506053983926602e-01, 6.733919192862556e-02, 2.417590783136229e-06
 8.700000000000000e+01, 9.278792335359821e-01,-1.782446376011590e-06, 1.314508489841581e-05, 2.586729342765841e-01, 1.090757383622702e-05,-2.586730702476229e-01, 7.211373206907644e-02, 2.397308642078595e-06
 9.000000000000000e+01, 9.229542840673938e-01,-1.761385890911633e-06, 1.398611477600159e-05, 2.666496491207360e-01, 1.167154362728779e-05,-2.666497854322420e-01, 7.703868154559523e-02, 2.376274686634689e-06
 9.300000000000000e+01, 9.178806574100605e-01,-1.739584174548997e-06, 1.484408410448119e-05, 2.745326003886482e-01, 1.245315064939615e-05,-2.745327370081469e-01, 8.211230821069383e-02, 2.354498612845840e-06
 9.600000000000000e+01, 9.126601379751818e-01,-1.717051161464670e-06, 1.572167631877678e-05, 2.823190148103660e-01, 1.325512301148107e-05,-2.823191517106251e-01, 8.733282765300898e-02, 2.331990360793198e-06
 9.900000000000000e+01, 9.072945618099948e-01,-1.693796627459650e-06, 1.662219136818638e-05, 2.900061540052492e-01, 1.408080162204701e-05,-2.900062911632947e-01, 9.269840382538665e-02, 2.308759729979506e-06
 1.020000000000000e+02, 9.017858159510433e-01,-1.669830184300053e-06, 1.754925046364050e-05, 2.975913156101201e-01, 1.493384542217075e-05,-2.975914530063780e-01, 9.820714969122732e-02, 2.284816360968440e-06
 1.050000000000000e+02, 8.961358377600400e-01,-1.645161330140259e-06, 1.850645831166543e-05, 3.050718343025499e-01, 1.581789417551054e-05,-3.050719719201571e-01, 1.038571278888563e-01, 2.260169777243592e-06
 1.080000000000000e+02, 8.903466142417107e-01,-1.619799476714942e-06, 1.949705183705792e-05, 3.124450827083911e-01, 1.673621763623458e-05,-3.124452205326191e-01, 1.096463514135099e-01, 2.234829418445261e-06
 1.110000000000000e+02, 8.844201813445688e-01,-1.593753970418332e-06, 2.052356665732358e-05, 3.197084721921571e-01, 1.769138237096593e-05,-3.197086102099227e-01, 1.155727843166684e-01, 2.208804661457418e-06
 1.140000000000000e+02, 8.783586232445694e-01,-1.567034119917267e-06, 2.158755198254161e-05, 3.268594535381223e-01, 1.868496694907238e-05,-3.268595917375669e-01, 1.216343424224495e-01, 2.182104838747289e-06
 1.170000000000000e+02, 8.721640716117673e-01,-1.539649218233041e-06, 2.268936137216368e-05, 3.338955175389196e-01, 1.971735298267427e-05,-3.338956559090547e-01, 1.278288940607319e-01, 2.154739270381099e-06
 1.200000000000000e+02, 8.658387048609427e-01,-1.511608568133265e-06, 2.382804069510315e-05, 3.408141955164116e-01, 2.078761329171229e-05,-3.408143340468181e-01, 1.341542608167965e-01, 2.126717284012641e-06
 1.230000000000000e+02, 8.593847473856118e-01,-1.482921489463009e-06, 2.500132661885666e-05, 3.476130598047670e-01, 2.189351056426322e-05,-3.476131984853517e-01, 1.406082182971640e-01, 2.098048233414525e-06
 1.260000000000000e+02, 8.528044687760853e-01,-1.453597379814832e-06, 2.620575945615237e-05, 3.542897242290483e-01, 2.303161033464816e-05,-3.542898630498397e-01, 1.471884969113858e-01, 2.068741522050535e-06
 1.290000000000000e+02, 8.461001830223602e-01,-1.423645702015386e-06, 2.743690402325297e-05, 3.608418446128641e-01, 2.419750198419091e-05,-3.608419835638665e-01, 1.538927826696716e-01, 2.038806630039785e-06
 1.320000000000000e+02, 8.392742477004271e-01,-1.393076076640990e-06, 2.868966247408483e-05, 3.672671193448178e-01, 2.538611178236952e-05,-3.672672584159529e-01, 1.607187179958633e-01, 2.008253198181768e-06
 1.350000000000000e+02, 8.323290631444545e-01,-1.361898476628816e-06, 2.995865439286725e-05, 3.735632900293173e-01, 2.659208327789584e-05,-3.735634292105129e-01, 1.676639025559074e-01, 1.977091194296681e-06
 1.380000000000000e+02, 8.252670716029389e-01,-1.330123492203634e-06, 3.123863291902758e-05, 3.797281422374305e-01, 2.781019394180553e-05,-3.797282815189799e-01, 1.747258941012752e-01, 1.945331231012772e-06
 1.410000000000000e+02, 8.180907563806120e-01,-1.297762725400117e-06, 3.252490151980484e-05, 3.857595063652433e-01, 2.903577232682507e-05,-3.857596457384045e-01, 1.819022093273434e-01, 1.912984912477243e-06
 1.440000000000000e+02, 8.108026409656539e-01,-1.264827911999416e-06, 3.381369451129459e-05, 3.916552585954610e-01, 3.026507709673707e-05,-3.916553980524308e-01, 1.891903247459060e-01, 1.880064042134277e-06
 1.470000000000000e+02, 8.034052881443605e-01,-1.231325764810675e-06, 3.510248560354776e-05, 3.974133219487943e-01, 3.149559766730766e-05,-3.974134614786231e-01, 1.965876775708061e-01, 1.846575430150013e-06
 1.500000000000000e+02, 7.959012991022644e-01,-1.197250534990870e-06, 3.639019620976980e-05, 4.030316674004139e-01, 3.272625330617718e-05,-4.030318069794822e-01, 2.040916666168262e-01, 1.812513437302696e-06
 1.530000000000000e+02, 7.882933125071235e-01,-1.162590976095180e-06, 3.767729082442836e-05, 4.085083150273745e-01, 3.395750173185392e-05,-4.085084546156118e-01, 2.116996532165185e-01, 1.777866798798460e-06
 1.560000000000000e+02, 7.805840035769304e-01,-1.127343590870297e-06, 3.896574525985081e-05, 4.138413351511669e-01, 3.519132648945924e-05,-4.138414746984098e-01, 2.194089621521970e-01, 1.742631912757121e-06
 1.590000000000000e+02, 7.727760831391025e-01,-1.091510184470520e-06, 4.025887888312901e-05, 4.190288494402153e-01, 3.643106370753595e-05,-4.190289888903289e-01, 2.272168825966027e-01, 1.706810494304493e-06
 1.620000000000000e+02, 7.648722966779370e-01,-1.055089499823185e-06, 4.156106957364639e-05, 4.240690319342189e-01, 3.768110519684033e-05,-4.240691712230572e-01, 2.351206690658159e-01, 1.670401229097012e-06
 1.650000000000000e+02, 7.568754233673187e-01,-1.018069858331471e-06, 4.287737838819196e-05, 4.289601099564103e-01, 3.894651509353117e-05,-4.289602490047266e-01, 2.431175423864325e-01, 1.633392403781684e-06
 1.680000000000000e+02, 7.487882750902961e-01,-9.804201359230216e-07, 4.421311447739460e-05, 4.337003648894302e-01, 4.023258697683741e-05,-4.337005035896849e-01, 2.512046906765055e-01, 1.595752892846404e-06
 1.710000000000000e+02, 7.406136954480513e-01,-9.420865232341597e-07, 4.557336078929355e-05, 4.382881327941897e-01, 4.154437057824416e-05,-4.382882709955271e-01, 2.593792703362084e-01, 1.557428933561227e-06
 1.740000000000000e+02, 7.323545587576982e-01,-9.029871473457089e-07, 4.696251434438512e-05, 4.427218048721772e-01, 4.288621146343141e-05,-4.427219423623485e-01, 2.676384070503087e-01, 1.518338736320052e-06
 1.770000000000000e+02, 7.240137690353671e-01,-8.629928827490552e-07, 4.838389923158588e-05, 4.469998277847232e-01, 4.426135102477616e-05,-4.469999642593362e-01, 2.759791968057681e-01, 1.478353372119641e-06
 1.800000000000000e+02, 7.155942589705427e-01,-8.219153246761450e-07, 4.983945304575762e-05, 4.511207038374412e-01, 4.567161161079736e-05,-4.511208388616256e-01, 2.843987069171855e-01, 1.437284747376351e-06
 1.830000000000000e+02, 7.070989888847949e-01,-7.794739365962085e-07, 5.132956169974797e-05, 4.550829910721469e-01, 4.711721396925971e-05,-4.550831240215086e-01, 2.928939770688781e-01, 1.394852900690397e-06
 1.860000000000000e+02, 6.985309456752762e-01,-7.352457793337745e-07, 5.285305350887621e-05, 4.588853033008845e-01, 4.859674698826019e-05,-4.588854332703395e-01, 3.014620203725206e-01, 1.350635863860822e-06
 1.890000000000000e+02, 6.898931417418122e-01,-6.885934231388395e-07, 5.440736464491459e-05, 4.625263101235954e-01, 5.010730332252365e-05,-4.625264357906724e-01, 3.100998244414274e-01, 1.303997832132666e-06
 1.920000000000000e+02, 6.811886138972315e-01,-6.385686363764288e-07, 5.598887221845682e-05, 4.660047369716777e-01, 5.164478139040921e-05,-4.660048563996704e-01, 3.188043524823741e-01, 1.253993261374771e-06
 1.950000000000000e+02, 6.724204222535530e-01,-5.837688032910666e-07, 5.759340797761073e-05, 4.693193652246219e-01, 5.320435581366563e-05,-4.693194755765306e-01, 3.275725444116283e-01, 1.199223794672501e-06
 1.980000000000000e+02, 6.635916491019100e-01,-5.221983326793288e-07, 5.921684140730586e-05, 4.724690324084777e-01, 5.478105480340753e-05,-4.724691295786557e-01, 3.364013179779768e-01, 1.137700204801560e-06
 2.010000000000000e+02, 6.547053977589176e-01,-4.510495356135372e-07, 6.085581337918245e-05, 4.754526325389650e-01, 5.637046686136605e-05,-4.754527106488425e-01, 3.452875699210566e-01, 1.066623604281594e-06
 2.040000000000000e+02, 6.457647912953701e-01,-3.661289868916271e-07, 6.250894421775508e-05, 4.782691167284167e-01, 5.796975551791215e-05,-4.782691672603906e-01, 3.542281772569882e-01, 9.818154222817459e-07
