 0.000000000000000e+00, 2.499999999999999e-01, 0.000000000000000e+00, 2.499999999999999e-01, 0.000000000000000e+00, 2.499999999999999e-01, 0.000000000000000e+00, 2.499999999999999e-01, 0.000000000000000e+00, 2.499999999999999e-01, 0.000000000000000e+00, 2.499999999999999e-01, 0.000000000000000e+00, 2.499999999999999e-01, 0.000000000000000e+00, 2.499999999999999e-01, 0.000000000000000e+00, 2.500000000000001e-01, 0.000000000000000e+00, 2.499999999999999e-01, 0.000000000000000e+00, 2.500000000000001e-01, 0.000000000000000e+00, 2.500000000000000e-01, 0.000000000000000e+00, 2.499999999999999e-01, 0.000000000000000e+00, 2.499999999999999e-01, 0.000000000000000e+00, 2.500000000000000e-01, 0.000000000000000e+00, 2.500000000000000e-01, 0.000000000000000e+00
 1.000000000000000e-02, 3.272515586157223e-01,-5.224327845388711e-07, 3.272337541469785e-01, 3.268518065895538e-03, 2.377533592352671e-01, 2.371677824000685e-03, 2.377168008987188e-01, 4.746661312015811e-03, 3.272344328901727e-01,-3.267951173969032e-03, 3.272494183227355e-01, 1.059825159055320e-06, 2.377646025880087e-01,-2.104830340879556e-06, 2.377517784749867e-01, 2.373171523288804e-03, 2.377535398194673e-01,-2.373088871434498e-03, 2.377643064873542e-01, 2.050857289811808e-06, 1.727502131887342e-01,-7.027634241580857e-07, 1.727408719112658e-01, 1.725039516909944e-03, 2.377170962588157e-01,-4.746898248039385e-03, 2.377516862075590e-01,-2.372020552503889e-03, 1.727409245900045e-01,-1.725477740679617e-03, 1.727488298374499e-01, 3.029986881047464e-07
 2.000000000000000e-02, 3.969239685916047e-01,-1.486866757565222e-06, 3.968396128368417e-01, 7.927700491217661e-03, 2.022209164763680e-01, 4.021161259720763e-03, 2.020977659631490e-01, 8.060111999993555e-03, 3.968398709849714e-01,-7.926254918793261e-03, 3.969142066766987e-01, 2.978500428520506e-06, 2.022583839123297e-01,-1.697525424327207e-05, 2.022158615206464e-01, 4.023664567975116e-03, 2.022213901033420e-01,-4.023904007518486e-03, 2.022587816715004e-01, 1.664486951341365e-05, 1.030823970439797e-01,-9.708902813433153e-07, 1.030605890272360e-01, 2.058323843810019e-03, 2.020975396371732e-01,-8.060860891260384e-03, 2.022157880395103e-01,-4.021910378579231e-03, 1.030601934839615e-01,-2.059219564564999e-03, 1.030794915090935e-01, 1.114789060956741e-07
 3.000000000000000e-02, 4.521898441665071e-01,-2.526128811054795e-06, 4.519733630843894e-01, 1.354530629606720e-02, 1.469056825789468e-01, 4.341088378585049e-03, 1.467055315918513e-01, 8.740504162171946e-03, 4.519716118475397e-01,-1.354302295678800e-02, 4.521615760813726e-01, 4.927865477676562e-06, 1.469648631563748e-01,-5.998339169947927e-05, 1.468964510178682e-01, 4.343347594807283e-03, 1.469063555895491e-01,-4.344091864972303e-03, 1.469661514802055e-01, 5.937511597402375e-05, 4.782595680080366e-02,-7.272385533079210e-07, 4.780316142068271e-02, 1.432200889217048e-03, 1.467045995500168e-01,-8.741734605193780e-03, 1.468964636643530e-01,-4.342156289377029e-03, 4.780262760613896e-02,-1.433124968819389e-03, 4.782272947508432e-02,-1.975699757492816e-07
 4.000000000000000e-02, 4.876408600475222e-01,-3.062656559393515e-06, 4.872234127241648e-01, 1.947380910351081e-02, 7.725490347880766e-02, 2.949013303615366e-03, 7.707130423769151e-02, 6.032252759643602e-03, 4.872188298494323e-01,-1.947065178425488e-02, 4.875805543350819e-01, 6.278073030425643e-06, 7.730604044825201e-02,-1.377679923855294e-04, 7.724554236949713e-02, 2.950092040606051e-03, 7.725586314372246e-02,-2.951223015601569e-03, 7.730758184943717e-02, 1.369808974062607e-04, 1.239020044466720e-02,-2.997451967947794e-07, 1.237965746382868e-02, 4.945950854965443e-04, 7.707038552316456e-02,-6.033750730171630e-03, 7.724558251949419e-02,-2.950284179064898e-03, 1.237938083917853e-02,-4.951350118191113e-04, 1.238858852490060e-02,-2.580127775502817e-07
 5.000000000000000e-02, 4.998140570384852e-01,-2.850348154982696e-06, 4.991415968868354e-01, 2.494728838689857e-02, 1.207194453595377e-04,-2.419546779591978e-04, 1.330300094366576e-04,-2.355210752858882e-04, 4.991338665008168e-01,-2.494274921759509e-02, 4.997096049615353e-01, 7.262423405986554e-06, 1.090092281382921e-04,-2.475853677342828e-04, 1.212910848197041e-04,-2.418814782650165e-04, 1.224927833956137e-04, 2.410577779085596e-04, 1.102929313935991e-04, 2.468475853549482e-04, 2.382221834462636e-04,-1.958597305788288e-07, 2.379120453765222e-04, 1.169611641730434e-05, 1.329937973974792e-04, 2.332830374824133e-04, 1.211679865801715e-04, 2.396085239985607e-04, 2.378930161797900e-04,-1.216067503013690e-05, 2.381817876651281e-04,-2.692085978232216e-07
 6.000000000000000e-02, 4.997071718645834e-01,-2.849164582683500e-06, 4.987467419793459e-01, 2.991448327839825e-02, 1.237004190754130e-04,-3.512887275932370e-04, 1.448870627256288e-04,-3.431178442853151e-04, 4.987390638349558e-01,-2.990986947003068e-02, 4.995750517576091e-01, 7.259008645460127e-06, 1.029617698554666e-04,-3.579518395508504e-04, 1.242648145927424e-04,-3.511713596784115e-04, 1.254714495001759e-04, 3.503723330059870e-04, 1.042518745469921e-04, 3.572101294011226e-04, 3.589641024889127e-04,-1.954617523198509e-07, 3.582863968389367e-04, 2.129609769690446e-05, 1.448127303468646e-04, 3.408837873152784e-04, 1.241244601035165e-04, 3.489004531869154e-04, 3.582595741900899e-04,-2.175767723889672e-05, 3.588771774208299e-04,-2.670316125269232e-07
 7.000000000000001e-02, 4.996016011774713e-01,-2.848235135435168e-06, 4.983032905196466e-01, 3.487416835870778e-02, 1.276779336931552e-04,-4.402907569220550e-04, 1.584732931696549e-04,-4.301356949041204e-04, 4.982956652365202e-01,-3.486948113348142e-02, 4.994411183796938e-01, 7.255145107461919e-06, 9.714075472032757e-05,-4.479947893747602e-04, 1.282343659756334e-04,-4.401229102653144e-04, 1.294454460688944e-04, 4.393554785281322e-04, 9.843612649435020e-05, 4.472493826887549e-04, 4.787455766571854e-04,-1.949413481487484e-07, 4.775154833709647e-04, 3.322684432181508e-05, 1.583599689586190e-04, 4.279065702977359e-04, 1.280756844587466e-04, 4.378540721580187e-04, 4.774813140607337e-04,-3.368500457212135e-05, 4.785986791434466e-04,-2.646050201693125e-07
 8.000000000000000e-02, 4.995042052368736e-01,-2.847216842637862e-06, 4.978179033225395e-01, 3.982709599436768e-02, 1.324371817669417e-04,-5.077490914485772e-04, 1.728657050914744e-04,-4.953689301007149e-04, 4.978103312102811e-01,-3.982233604040238e-02, 4.993141396512961e-01, 7.251026559556423e-06, 9.203435337915215e-05,-5.165331147318229e-04, 1.329845420438854e-04,-5.075271750137142e-04, 1.341994513589507e-04, 5.067955357762842e-04, 9.333344683297723e-05, 5.157845412640331e-04, 5.909686871009173e-04,-1.943771306227090e-07, 5.889893967293878e-04, 4.692979350400405e-05, 1.727120661632460e-04, 4.931459318714364e-04, 1.328061487012898e-04, 5.052609640617292e-04, 5.889482755587389e-04,-4.738444279757102e-05, 5.907497998862868e-04,-2.621956702766922e-07
 9.000000000000001e-02, 4.994180423318323e-01,-2.846081554382096e-06, 4.972935632903268e-01, 4.477358354392314e-02, 1.377753642331389e-04,-5.565593900850462e-04, 1.874746016363926e-04,-5.417258290210687e-04, 4.972860445111859e-01,-4.476875127380639e-02, 4.991969127619802e-01, 7.246902110204928e-06, 8.782176621836610e-05,-5.664847056793923e-04, 1.383123023366606e-04,-5.562815145598370e-04, 1.395311626203794e-04, 5.555877936276031e-04, 8.912362286992874e-05, 5.657332741654319e-04, 6.927048033972205e-04,-1.938170580003553e-07, 6.897756487503866e-04, 6.191332441104203e-05, 1.872796934036518e-04, 5.395094206995045e-04, 1.381132898773181e-04, 5.540178944726716e-04, 6.897279632070076e-04,-6.236450962616389e-05, 6.924033338250364e-04,-2.598887261198761e-07
